Tested_Number,Função_Simples,Função_Complexa
250000,0.1251,0.0034
251000,0.1302,0.0035
252000,0.1327,0.0035
253000,0.1282,0.0035
254000,0.1274,0.0036
255000,0.1287,0.0036
256000,0.1282,0.0036
257000,0.1295,0.0035
258000,0.1309,0.0038
259000,0.1307,0.0037
260000,0.1392,0.0036
261000,0.1364,0.0036
262000,0.1322,0.0039
263000,0.1326,0.0037
264000,0.1345,0.0037
265000,0.1344,0.0039
266000,0.135,0.0039
267000,0.1426,0.004
268000,0.1365,0.0039
269000,0.137,0.004
270000,0.1383,0.0038
271000,0.1446,0.0039
272000,0.1394,0.0039
273000,0.1419,0.0041
274000,0.1502,0.0041
275000,0.1414,0.0041
276000,0.1425,0.0043
277000,0.1423,0.0041
278000,0.1436,0.0041
279000,0.1443,0.0041
280000,0.1464,0.0041
281000,0.1587,0.0042
282000,0.1465,0.0042
283000,0.1471,0.0047
284000,0.1549,0.0074
285000,0.1647,0.0042
286000,0.1494,0.0043
287000,0.1582,0.0043
288000,0.1507,0.0044
289000,0.1524,0.0042
290000,0.1529,0.0042
291000,0.1571,0.0043
292000,0.1571,0.0045
293000,0.1553,0.0043
294000,0.1629,0.0044
295000,0.1557,0.0046
296000,0.1617,0.0044
297000,0.1574,0.0047
298000,0.1712,0.0047
299000,0.1627,0.0045
300000,0.1718,0.0046
301000,0.1638,0.0048
302000,0.1614,0.0047
303000,0.1626,0.0047
304000,0.1629,0.0046
305000,0.1639,0.0046
306000,0.1731,0.0045
307000,0.1643,0.0044
308000,0.1652,0.0045
309000,0.1663,0.0048
310000,0.1719,0.0054
311000,0.1811,0.006
312000,0.1679,0.0047
313000,0.1694,0.0048
314000,0.1689,0.0048
315000,0.1701,0.0048
316000,0.171,0.0051
317000,0.1799,0.0048
318000,0.1726,0.0048
319000,0.1733,0.0048
320000,0.1743,0.0049
321000,0.1812,0.005
322000,0.1968,0.0051
323000,0.1865,0.0052
324000,0.1807,0.0051
325000,0.1797,0.0051
326000,0.1808,0.0052
327000,0.181,0.0051
328000,0.1877,0.0051
329000,0.1806,0.005
330000,0.1817,0.0051
331000,0.1874,0.0053
332000,0.1837,0.0051
333000,0.1926,0.0054
334000,0.1848,0.0053
335000,0.1861,0.0052
336000,0.1865,0.0054
337000,0.1885,0.0053
338000,0.1901,0.0053
339000,0.1948,0.0053
340000,0.1908,0.0052
341000,0.2002,0.0055
342000,0.1921,0.0055
343000,0.2113,0.0055
344000,0.2068,0.0056
345000,0.1948,0.0056
346000,0.1948,0.0055
347000,0.1958,0.0057
348000,0.2003,0.0056
349000,0.2031,0.0056
350000,0.1985,0.0057
351000,0.2026,0.0056
352000,0.2003,0.0057
353000,0.2042,0.0057
354000,0.2059,0.0056
355000,0.201,0.0057
356000,0.2016,0.0058
357000,0.2106,0.0062
